"Identified.Proteins","Accession.Number","Alternate.ID","Molecular.Weight","sample","value","group"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X254A",0,"OC4_0"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X265A",9.6933,"OC4_0"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X269A",0,"OC4_0"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X081B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X087B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X088B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X098B",1.034,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X100B",0.95565,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X107B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X108B",1.9012,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X110B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X125B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X193B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X203B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X204B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X254B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X265B",0,"OC4_1"
"Cluster of myosin light chain 1/3, skeletal muscle isoform  ","XP_048725270.1 ","MYL1",21,"X269B",0,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X114A",2.6685,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X115A",3.0511,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X116A",0,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X133A",1.007,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X137A",2.182,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X162A",2.0235,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X192A",2.0075,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X249A",4.0391,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X278A",0.952,"OC2_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X114B",0.96978,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X115B",1.0332,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X116B",1.9327,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X133B",1.0178,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X137B",1.0729,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X162B",0,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X192B",0,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X249B",0,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X278B",1.0389,"OC2_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X081A",1.0821,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X087A",2.1406,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X088A",0.96441,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X098A",1.0331,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X100A",1.9565,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X107A",1.0611,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X108A",1.785,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X110A",1.0122,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X125A",3.0187,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X193A",1.0224,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X203A",1.9714,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X204A",3.8177,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X254A",0,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X265A",0.96933,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X269A",0.98437,"OC4_0"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X081B",2.0301,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X087B",0,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X088B",0.98397,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X098B",0,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X100B",0,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X107B",0.99048,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X108B",0,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X110B",2.0903,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X125B",0.99568,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X193B",1.0064,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X203B",0,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X204B",0.99034,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X254B",1.0878,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X265B",1.0278,"OC4_1"
"Cluster of neogenin isoform X10  ","XP_048722099.1 ","NEO1",156,"X269B",1.0365,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X114A",1.779,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X115A",0,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X116A",1.7279,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X133A",0,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X137A",2.182,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X162A",0,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X192A",0,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X249A",4.0391,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X278A",0,"OC2_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X114B",0.96978,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X115B",1.0332,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X116B",0.96636,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X133B",0,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X137B",0,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X162B",0,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X192B",0,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X249B",1.0811,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X278B",1.0389,"OC2_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X081A",1.0821,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X087A",2.1406,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X088A",0.96441,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X098A",1.0331,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X100A",0,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X107A",1.0611,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X108A",0.89251,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X110A",0,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X125A",2.0125,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X193A",1.0224,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X203A",0.9857,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X204A",0.95442,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X254A",1.0851,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X265A",2.908,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X269A",0.98437,"OC4_0"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X081B",1.0151,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X087B",0,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X088B",0,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X098B",1.034,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X100B",0,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X107B",0.99048,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X108B",0.95059,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X110B",0,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X125B",0,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X193B",1.0064,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X203B",0.99645,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X204B",0.99034,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X254B",1.0878,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X265B",1.0278,"OC4_1"
"granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like isoform X1  ","XP_048715559.1 ","CSF2RA",47,"X269B",2.0729,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X114A",2.6685,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X115A",2.0341,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X116A",5.1837,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X133A",0,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X137A",2.182,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X162A",0,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X192A",1.0037,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X249A",3.0293,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X278A",0,"OC2_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X114B",2.9094,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X115B",0,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X116B",0.96636,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X133B",0,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X137B",0,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X162B",0.98599,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X192B",0.93212,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X249B",0,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X278B",0,"OC2_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X081A",0,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X087A",3.211,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X088A",0.96441,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X098A",1.0331,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X100A",1.9565,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X107A",1.0611,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X108A",7.1401,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X110A",2.0245,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X125A",2.0125,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X193A",2.0448,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X203A",0,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X204A",1.9088,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X254A",0,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X265A",0.96933,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X269A",0,"OC4_0"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X081B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X087B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X088B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X098B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X100B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X107B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X108B",2.8518,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X110B",1.0451,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X125B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X193B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X203B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X204B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X254B",0,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X265B",1.0278,"OC4_1"
"ribonuclease inhibitor isoform X1  ","XP_048708514.1 ","RNH1",53,"X269B",0,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X114A",0.8895,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X115A",2.0341,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X116A",0.86394,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X133A",1.007,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X137A",0,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X162A",1.0118,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X192A",2.0075,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X249A",1.0098,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X278A",1.904,"OC2_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X114B",0.96978,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X115B",2.0664,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X116B",1.9327,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X133B",2.0356,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X137B",1.0729,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X162B",0.98599,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X192B",1.8642,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X249B",1.0811,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X278B",1.0389,"OC2_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X081A",1.0821,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X087A",1.0703,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X088A",1.9288,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X098A",2.0662,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X100A",0.97824,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X107A",1.0611,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X108A",1.785,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X110A",1.0122,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X125A",1.0062,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X193A",1.0224,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X203A",2.9571,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X204A",0.95442,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X254A",1.0851,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X265A",0.96933,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X269A",0.98437,"OC4_0"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X081B",1.0151,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X087B",0.96538,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X088B",0.98397,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X098B",3.102,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X100B",1.9113,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X107B",1.981,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X108B",0.95059,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X110B",1.0451,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X125B",0.99568,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X193B",1.0064,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X203B",1.9929,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X204B",0.99034,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X254B",1.0878,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X265B",1.0278,"OC4_1"
"Cluster of deleted in malignant brain tumors 1 protein-like  ","XP_048690776.1 ","DMBT1",151,"X269B",2.0729,"OC4_1"
"desmin  ","XP_048724695.1","DES",52,"X114A",1.1245,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X115A",0.26864,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X116A",1.0921,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X133A",0,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X137A",0,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X162A",0.26725,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X192A",0,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X249A",0.26673,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X278A",0,"OC2_0"
"desmin  ","XP_048724695.1","DES",52,"X114B",0,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X115B",0,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X116B",0.51052,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X133B",0.26884,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X137B",0,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X162B",0,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X192B",0.24621,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X249B",0,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X278B",0.27443,"OC2_1"
"desmin  ","XP_048724695.1","DES",52,"X081A",0.28583,"OC4_0"
"desmin  ","XP_048724695.1","DES",52,"X087A",0.28272,"OC4_0"
"desmin  ","XP_048724695.1","DES",52,"X088A",0.25474,"OC4_0"
"desmin  ","XP_048724695.1","DES",52,"X098A",0,"OC4_0"
"desmin  ","XP_048724695.1","DES",52,"X100A",0.2584,"OC4_0"
