Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
mannan-binding lectin serine protease 2  ,XP_048680913.1,MASP2,74,8.895,9.1532,6.9115,9.063,10.91,10.118,9.0337,8.0782,9.52,8.7281,8.2654,5.7982,9.16,8.5834,9.8599,10.253,9.7297,10.389,10.821,9.6329,7.7153,8.265,12.717,10.611,8.0326,8.0979,9.0562,11.246,10.843,10.499,10.851,9.6933,10.828,8.1205,8.6884,8.8557,7.2379,11.468,7.9238,10.456,7.316,8.9611,11.071,10.961,6.9324,7.6148,9.2506,8.2918
Cluster of heat shock cognate 71 kDa protein  ,XP_048683618.1 ,HSPA8,71,19.569,7.1192,19.871,10.07,8.7278,10.118,15.056,4.0391,3.808,6.7885,5.1659,7.7309,8.1422,2.1458,10.846,3.7285,2.1622,1.0389,8.6569,11.774,3.8576,6.1987,3.913,3.1834,29.453,5.0612,10.062,4.0896,3.9428,7.6354,3.2552,6.7853,6.8906,3.0452,5.7923,2.9519,5.1699,2.8669,1.981,16.16,6.2708,6.9698,7.045,8.9681,8.9131,6.527,9.2506,7.2553
hepatocyte growth factor activator  ,XP_048704526.1,HGFAC,74,5.337,8.1362,3.4558,3.021,4.3639,4.0471,4.015,8.0782,3.808,5.8187,5.1659,6.7645,3.0533,5.3646,6.9019,9.3212,5.4054,5.1947,4.3284,6.4219,3.8576,7.2319,5.8694,3.1834,3.57,5.0612,6.0375,4.0896,4.9285,6.681,7.5954,4.8467,5.9062,8.1205,5.7923,5.9038,3.102,6.6895,4.9524,6.6541,6.2708,4.9784,4.0257,3.9858,5.9421,5.4391,4.1114,7.2553
regenerating islet-derived protein 4-like  ,XP_048711042.1,REG4,20,8.0055,12.204,6.9115,10.07,9.8188,10.118,9.0337,8.0782,8.568,6.7885,6.1991,6.7645,5.0889,6.4375,5.9159,4.6606,5.4054,4.1557,7.5748,9.6329,7.7153,9.2981,9.7824,8.4891,8.0326,10.122,13.081,13.291,5.9142,10.499,9.7655,8.724,9.8437,2.0301,7.7231,4.9198,4.1359,6.6895,5.9429,6.6541,5.2257,4.9784,5.0322,6.9752,4.9517,4.3513,6.1671,5.1824
collagen alpha-3 chain  ,XP_048725305.1,COL6A3,347,13.342,10.17,17.279,11.077,6.5459,15.176,3.0112,3.0293,9.52,0.96978,3.0995,5.7982,1.0178,4.2917,2.958,1.8642,1.0811,2.0779,7.5748,14.985,3.8576,5.1656,7.8259,8.4891,8.9251,7.0857,9.0562,4.0896,4.9285,10.499,5.4253,11.632,2.9531,8.1205,10.619,1.9679,1.034,6.6895,4.9524,1.9012,5.2257,3.9827,3.0193,5.9787,0.99034,1.0878,2.0557,1.0365
uncharacterized protein LOC125624516 [complement C1q subcomponent subunit C isoform 1 precursor],XP_048681253.1,C1QC,102,6.2265,7.1192,4.3197,7.049,5.4549,8.0941,6.0225,7.0685,4.76,7.7583,5.1659,5.7982,7.1245,8.5834,7.8879,3.7285,7.5675,5.1947,8.6569,5.3516,7.7153,7.2319,7.8259,7.4279,6.2476,8.0979,10.062,9.2016,7.8856,5.7265,7.5954,6.7853,5.9062,5.0753,7.7231,6.8878,8.2719,6.6895,6.9333,8.5553,7.316,5.9741,6.0386,5.9787,6.9324,5.4391,7.1949,9.3283
uncharacterized protein LOC125629520  ,XP_048690849.1,LOC125629520,26,7.116,7.1192,4.3197,8.056,7.6368,11.129,10.037,8.0782,7.616,7.7583,7.2323,5.7982,7.1245,6.4375,6.9019,8.3891,9.7297,5.1947,8.6569,10.703,8.6797,11.364,8.8042,9.5502,8.9251,9.1102,9.0562,8.1792,8.8713,10.499,8.6805,10.663,5.9062,7.1054,5.7923,5.9038,6.2039,8.6008,7.9238,6.6541,8.3611,4.9784,8.0514,6.9752,3.9614,6.527,8.2228,8.2918
lysozyme g-like  ,XP_048714083.1,LYG2,22,9.7845,7.1192,9.5034,13.091,7.6368,6.0706,9.0337,10.098,8.568,10.668,6.1991,3.8655,9.16,8.5834,6.9019,9.3212,9.7297,15.584,9.739,9.6329,14.466,9.2981,9.7824,10.611,20.528,8.0979,8.05,10.224,7.8856,5.7265,4.3402,3.8773,3.9375,11.166,8.6884,8.8557,6.2039,5.7339,6.9333,14.259,7.316,9.9568,8.0514,7.9716,6.9324,10.878,8.2228,3.1094
serine protease 53-like  ,XP_048708853.1,PRSS53,74,5.337,4.0681,7.7755,7.049,6.5459,10.118,4.015,11.108,2.856,4.8489,4.1327,6.7645,5.0889,6.4375,5.9159,4.6606,8.6486,5.1947,11.903,7.4923,13.502,7.2319,8.8042,5.3057,8.0326,6.0735,8.05,13.291,9.8569,11.453,6.5104,6.7853,6.8906,13.196,6.7577,12.792,5.1699,5.7339,4.9524,1.9012,7.316,6.9698,7.045,4.9823,5.9421,5.4391,5.1392,6.2188
vitamin K-dependent protein S  ,XP_048726009.1,PROS1,85,5.337,5.0851,4.3197,7.049,3.2729,6.0706,7.0262,10.098,3.808,10.668,9.2986,3.8655,5.0889,4.2917,12.818,8.3891,9.7297,6.2336,5.4106,7.4923,7.7153,6.1987,6.8477,10.611,8.9251,7.0857,7.0437,9.2016,7.8856,5.7265,6.5104,4.8467,6.8906,4.0603,3.8615,6.8878,4.1359,4.7782,5.9429,9.5059,4.1806,4.9784,4.0257,10.961,5.9421,5.4391,2.0557,9.3283
properdin isoform X1  ,XP_048689400.1,CFP,52,5.337,7.1192,6.0476,7.049,4.3639,7.0824,9.0337,7.0685,4.76,3.8791,6.1991,4.8318,6.1067,6.4375,4.9299,4.6606,7.5675,4.1557,7.5748,6.4219,6.7509,5.1656,4.8912,7.4279,3.57,7.0857,6.0375,7.1568,7.8856,4.7721,7.5954,4.8467,5.9062,6.0904,3.8615,4.9198,6.2039,3.8226,4.9524,3.8024,5.2257,4.9784,6.0386,4.9823,3.9614,6.527,5.1392,5.1824
carbonic anhydrase 6  ,XP_048680776.1 ,CA6,59,0,9.1532,3.4558,11.077,1.091,4.0471,5.0187,5.0489,3.808,0,7.2323,9.6636,9.16,4.2917,8.8739,8.3891,6.4865,9.3504,3.2463,6.4219,0.96441,10.331,4.8912,8.4891,5.355,5.0612,10.062,7.1568,7.8856,4.7721,4.3402,3.8773,2.9531,5.0753,6.7577,8.8557,11.374,8.6008,7.9238,3.8024,7.316,5.9741,7.045,9.9645,8.9131,7.6148,8.2228,6.2188
complement component C8 alpha chain  ,XP_048717028.1,C8A,68,5.337,4.0681,6.0476,7.049,3.2729,7.0824,7.0262,9.088,6.664,7.7583,6.1991,4.8318,6.1067,3.2188,6.9019,7.457,8.6486,4.1557,6.4927,7.4923,7.7153,7.2319,5.8694,6.3668,7.1401,8.0979,2.0125,9.2016,6.8999,5.7265,7.5954,8.724,12.797,7.1054,5.7923,6.8878,6.2039,9.5565,6.9333,10.456,6.2708,7.9655,8.0514,7.9716,6.9324,6.527,9.2506,6.2188
leukotriene A-4 hydrolase isoform X1  ,XP_048691487.1 ,LTA4H,70,8.0055,9.1532,6.9115,8.056,9.8188,4.0471,4.015,5.0489,5.712,8.7281,9.2986,6.7645,6.1067,7.5104,3.944,4.6606,5.4054,4.1557,5.4106,7.4923,9.6441,9.2981,3.913,5.3057,8.9251,4.049,5.0312,3.0672,3.9428,7.6354,6.5104,8.724,3.9375,4.0603,4.8269,5.9038,5.1699,4.7782,4.9524,6.6541,5.2257,3.9827,6.0386,3.9858,4.9517,4.3513,7.1949,5.1824
talin-1  ,XP_048690633.1 ,TLN1,272,23.407,7.9621,26.339,4.028,5.4549,15.003,3.0112,5.0489,0.952,0,2.0664,16.898,12.883,5.1809,2.7892,10.707,0,0,23.251,2.1406,0,5.1656,1.9565,0,0.89251,1.0122,6.8715,4.0896,1.9714,10.335,10.665,6.6194,0,1.0151,13.185,2.7835,4.1359,0,0,0.95059,3.1354,10.782,12.911,3.9858,4.7822,2.1757,8.2228,0
immunoglobulin J chain  ,XP_048702901.1,JCHAIN,18,2.6685,11.187,3.4558,10.07,7.6368,11.129,6.0225,3.0293,6.664,2.9094,13.431,6.7645,9.16,6.4375,6.9019,6.5248,3.2432,4.1557,11.903,8.5626,5.7865,5.1656,6.8477,4.2445,6.2476,4.049,8.05,5.112,6.8999,5.7265,6.5104,9.6933,7.875,8.1205,8.6884,5.9038,2.068,5.7339,3.9619,8.5553,2.0903,3.9827,3.0193,3.9858,2.971,3.2635,7.1949,7.2553
Cluster of LOW QUALITY PROTEIN: filamin-A  ,XP_048688692.1 ,FLNA,275,17.123,17.925,17.172,7.6788,11.592,13.786,5.8981,5.6804,4.76,0,1.0332,7.3689,6.7431,3.8897,0.98599,7.457,0,0,16.908,11.373,2.8932,4.1325,6.4812,1.0611,5.0207,9.364,9.6855,12.908,5.5449,9.7835,6.5104,10.299,1.9687,1.0151,10.258,1.5993,4.7825,0.95565,0.99048,1.545,3.1354,5.9741,5.6615,4.9823,4.9517,0,5.782,0
72 kDa type IV collagenase  ,XP_048672740.1,MMP2,74,1.779,4.0681,5.1837,4.028,7.6368,5.0588,5.0187,6.0587,4.76,6.7885,5.1659,9.6636,8.1422,8.5834,7.8879,5.5927,7.5675,9.3504,4.3284,1.0703,3.8576,4.1325,3.913,7.4279,3.57,6.0735,4.025,4.0896,7.8856,4.7721,7.5954,0.96933,4.9218,9.1356,7.7231,5.9038,4.1359,5.7339,11.886,5.7035,4.1806,6.9698,7.045,7.9716,6.9324,8.7026,6.1671,4.1459
coagulation factor X isoform X1  ,XP_048711661.1,F10,55,6.2265,8.1362,3.4558,5.035,3.2729,5.0588,7.0262,2.0196,5.712,7.7583,7.2323,5.7982,7.1245,6.4375,6.9019,8.3891,9.7297,7.2726,9.739,5.3516,5.7865,8.265,6.8477,7.4279,3.57,10.122,4.025,7.1568,8.8713,4.7721,7.5954,3.8773,6.8906,6.0904,4.8269,4.9198,4.1359,4.7782,6.9333,6.6541,6.2708,5.9741,4.0257,7.9716,4.9517,7.6148,4.1114,4.1459
leucine-rich repeat-containing protein 15-like  ,XP_048693131.1,IGFALS,46,6.2265,7.1192,3.4558,6.042,3.2729,7.0824,6.0225,7.0685,5.712,6.7885,6.1991,3.8655,6.1067,5.3646,6.9019,7.457,8.6486,10.389,5.4106,5.3516,6.7509,7.2319,2.9347,6.3668,4.4625,6.0735,7.0437,6.1344,6.8999,4.7721,6.5104,6.7853,7.875,6.0904,6.7577,5.9038,5.1699,2.8669,6.9333,6.6541,5.2257,4.9784,7.045,7.9716,5.9421,6.527,6.1671,6.2188
titin  ,XP_048725941.1,TTN,3806,10.674,2.0341,50.109,1.007,2.182,3.0353,12.045,5.0489,0.952,2.9094,1.0332,0.96636,1.0178,2.1458,0.98599,2.7964,1.0811,2.0779,2.1642,2.1406,0.96441,2.0662,1.9565,1.0611,17.85,2.0245,2.0125,3.0672,1.9714,1.9088,3.2552,13.571,0.98437,1.0151,0.96538,0.98397,1.034,0.95565,1.981,0.95059,2.0903,0.99568,1.0064,1.9929,0.99034,1.0878,2.0557,2.0729
ovostatin-like  ,XP_048691937.1,A2M,162,0.35112,0,0.4057,0.48192,0,0.4152,0.37048,1.2978,0,0.29306,0.39883,0.43769,0,0,0,0.43795,0.43534,0.31396,0.26265,0,0.38069,1.4409,0.37762,0,0.18761,1.3098,0.32988,0.38629,0.29787,0.30433,0.17241,0,0,0.45089,0,0,0,0.45734,0.40646,0.39132,0.38576,0,0.3885,0.30112,0.46531,0,0.49189,0.31322
Cluster of plastin-2  ,XP_048706446.1 ,LCP1,71,7.116,5.0851,4.3197,6.042,12.001,7.0824,6.0225,13.127,6.664,8.7281,7.2323,6.7645,1.0178,5.3646,3.944,5.5927,6.4865,5.1947,5.4106,11.774,7.7153,5.1656,7.8259,4.2445,12.495,4.049,8.05,5.112,5.9142,11.453,6.5104,6.7853,2.9531,2.0301,2.8961,2.9519,1.034,1.9113,0.99048,10.456,2.0903,1.9914,2.0129,3.9858,2.971,1.0878,2.0557,5.1824
transferrin receptor protein 2 isoform X1  ,XP_048689562.1 ,TFR2,96,1.779,5.0851,3.4558,3.021,8.7278,5.0588,4.015,2.0196,3.808,4.8489,6.1991,4.8318,0,5.3646,1.972,3.7285,1.0811,3.1168,7.5748,6.4219,3.8576,6.1987,5.8694,10.611,0,3.0367,7.0437,6.1344,6.8999,4.7721,9.7655,2.908,10.828,6.0904,2.8961,2.9519,2.068,5.7339,8.9143,0.95059,2.0903,0.99568,8.0514,5.9787,1.9807,3.2635,3.0835,5.1824
betaine--homocysteine S-methyltransferase 1 isoform X1  ,XP_048705632.1,BHMT,57,14.232,8.1362,19.871,12.084,7.6368,5.0588,16.06,9.088,7.616,0,0,8.6973,5.0889,1.0729,0.98599,0.93212,0,0,4.3284,10.703,8.6797,6.1987,7.8259,5.3057,17.85,11.135,9.0562,7.1568,1.9714,6.681,1.0851,14.54,2.9531,3.0452,0.96538,0,4.1359,3.8226,0,6.6541,3.1354,2.987,1.0064,1.9929,1.9807,2.1757,4.1114,0
transthyretin-like  ,XP_048693192.1,TTR,17,4.9856,4.6834,5.7063,3.021,2.182,5.0588,4.6222,7.6794,4.384,7.3752,4.7578,6.3828,8.758,4.2917,0.98599,4.6606,3.8973,9.5686,3.901,7.0695,5.4055,5.7906,6.4613,6.3668,4.4625,2.0245,7.6525,7.7753,6.5105,4.7721,6.0817,7.3718,2.9531,4.6744,6.3763,6.4991,7.2379,8.2233,10.504,3.8024,5.858,7.5722,5.0322,3.5922,4.9517,8.7026,7.8168,8.9189
extracellular superoxide dismutase   ,XP_048704662.1,SOD3,27,8.0055,7.1192,6.9115,5.035,5.4549,10.118,8.0299,9.088,3.808,3.8791,2.0664,0.96636,1.0178,2.1458,1.972,2.7964,2.1622,3.1168,6.4927,11.774,8.6797,7.2319,8.8042,6.3668,5.355,7.0857,10.062,7.1568,3.9428,8.5898,8.6805,9.6933,3.9375,2.0301,1.9308,2.9519,2.068,1.9113,1.981,1.9012,1.0451,0.99568,1.0064,0.99645,2.971,5.4391,2.0557,3.1094
Cluster of collagen alpha-6 chain-like  ,XP_048694698.1 ,COL6A6,87,0,4.0681,6.0476,1.007,10.91,9.1059,3.0112,11.108,9.52,0.96978,2.0664,2.8991,1.0178,7.5104,7.8879,2.7964,6.4865,7.2726,0,10.703,7.7153,3.0994,4.8912,3.1834,2.6775,8.0979,7.0437,8.1792,4.9285,13.362,5.4253,7.7546,7.875,3.0452,4.8269,2.9519,0,1.9113,0.99048,0.95059,9.4063,1.9914,2.0129,0,2.971,1.0878,3.0835,7.2553
fibrinogen-like protein 1-like protein isoform X1  ,XP_048680044.1 ,ANGPTL1,31,3.558,3.0511,5.1837,2.014,2.182,2.0235,11.041,8.0782,3.808,2.9094,2.0664,2.8991,4.0711,1.0729,1.972,5.5927,3.2432,3.1168,3.2463,3.211,4.8221,4.1325,3.913,3.1834,3.57,3.0367,3.0187,2.0448,6.8999,7.6354,6.5104,2.908,4.9218,1.0151,0.96538,1.9679,3.102,1.9113,2.9714,2.8518,2.0903,1.9914,2.0129,2.9894,4.9517,2.1757,2.0557,3.1094
Cluster of N-acetylmuramoyl-L-alanine amidase isoform X1  ,XP_048690229.1 ,PGLYRP2,55,3.558,1.017,3.4558,4.028,7.6368,5.0588,1.0037,8.0782,0.952,2.9094,3.0995,1.9327,10.178,8.5834,6.9019,4.6606,9.7297,5.1947,4.3284,3.211,5.7865,6.1987,2.9347,5.3057,3.57,5.0612,6.0375,2.0448,2.9571,2.8633,6.5104,0.96933,5.9062,6.0904,4.8269,7.8718,5.1699,2.8669,5.9429,3.8024,9.4063,7.9655,5.0322,7.9716,5.9421,10.878,10.278,15.547
LOW QUALITY PROTEIN: ficolin-2-like  ,XP_048679113.1,FCN1,36,3.558,4.0681,4.3197,5.035,3.2729,3.0353,7.0262,4.5018,4.76,4.8489,5.1659,5.7982,5.0889,3.2188,3.944,4.6606,4.3243,3.1168,4.3284,6.9124,5.7865,6.1987,6.8477,6.3668,5.355,6.0735,4.025,6.1344,5.9142,5.7265,5.4253,5.816,4.9218,4.0603,5.7923,4.9198,7.2379,5.7339,3.9619,4.7529,5.2257,7.9655,5.0322,5.9787,3.9614,4.3513,6.1671,2.5479
"Cluster of myosin heavy chain, skeletal muscle, adult isoform X2  ",XP_048673401.1 ,MYH2,223,18.198,1.017,44.333,9.063,1.091,0,0,0,0.952,0,0,1.9327,1.0178,0,0,0.93212,0,0,0,14.52,0,0,0,0,27.034,0,0,0,0,0,0,37.642,0.98437,0,0,0,1.034,0,0,0,0,0.99568,0,0,0.99034,1.0878,1.0278,1.0365
ficolin-2-like  ,XP_048679226.1,FCN1,36,4.2187,6.8577,3.8754,5.5241,3.8028,6.562,5.5062,6.0864,5.2224,3.6298,4.9002,5.5497,2.7916,1.594,4.4228,5.353,3.7683,5.6993,6.2144,7.7969,4.5741,4.6343,8.3011,7.9433,2.448,7.5773,3.5075,4.8491,8.6178,9.0534,5.1463,2.6587,5.6531,1.7691,4.5787,2.6989,3.87,5.2424,5.4335,4.2641,1.8215,0.73964,5.521,5.4662,4.6971,4.0716,3.8471,4.4409
L-lactate dehydrogenase B chain  ,XP_048682451.1,LDHB,36,10.995,6.4688,10.99,6.405,6.9392,10.482,4.3768,4.4032,5.4464,3.259,1.4056,2.2811,1.3847,0.38679,0.35545,3.1324,0.38973,0.37454,3.6364,11.089,7.0985,3.4718,6.2221,3.5659,16.387,4.4139,6.4002,3.4358,6.2695,6.0706,3.6463,6.5149,1.3392,0.36593,5.523,0.35472,1.4067,0.68903,0.35707,6.0462,3.5122,1.3546,1.3693,2.3521,1.3474,0.78433,3.4541,0.37365
complement factor H-related protein 2  ,XP_048717762.1,CFHR2,42,3.558,5.0851,4.3197,5.035,3.2729,5.0588,7.0262,8.0782,2.856,9.6978,4.1327,1.9327,1.0178,2.1458,2.958,2.7964,6.4865,2.0779,5.4106,4.2813,6.7509,7.2319,6.8477,7.4279,9.8176,5.0612,4.025,5.112,7.8856,1.9088,3.2552,7.7546,1.9687,2.0301,2.8961,4.9198,3.102,2.8669,4.9524,11.407,4.1806,0.99568,2.0129,3.9858,1.9807,4.3513,2.0557,1.0365
complement factor D-like  ,XP_048686739.1,CFD,28,3.558,6.1022,6.0476,4.028,5.4549,8.0941,3.0112,2.0196,4.76,0.96978,2.0664,3.8655,4.0711,1.0729,2.958,3.7285,3.2432,4.1557,7.5748,3.211,3.8576,2.0662,2.9347,4.2445,1.785,5.0612,5.0312,3.0672,3.9428,4.7721,4.3402,0.96933,3.9375,4.0603,3.8615,3.9359,2.068,3.8226,3.9619,1.9012,4.1806,3.9827,1.0064,2.9894,1.9807,4.3513,3.0835,1.0365
"malate dehydrogenase, cytoplasmic  ",XP_048698647.1,MDH1,37,7.116,4.0681,9.5034,5.035,3.2729,4.0471,5.0187,5.0489,4.76,7.7583,5.1659,5.7982,4.0711,3.2188,6.9019,4.6606,3.2432,5.1947,5.4106,6.4219,5.7865,5.1656,3.913,5.3057,14.28,5.0612,5.0312,5.112,4.9285,3.8177,4.3402,5.816,3.9375,5.0753,4.8269,2.9519,3.102,4.7782,4.9524,8.5553,4.1806,2.987,5.0322,3.9858,4.9517,3.2635,5.1392,5.1824
pigment epithelium-derived factor  ,XP_048680188.1,SERPINF1,46,5.337,12.204,3.4558,8.056,7.6368,9.1059,5.0187,3.0293,6.664,3.8791,6.1991,5.7982,5.0889,5.3646,3.944,2.7964,3.2432,4.1557,3.2463,6.4219,3.8576,3.0994,3.913,3.1834,5.355,6.0735,8.05,9.2016,8.8713,5.7265,3.2552,6.7853,6.8906,5.0753,5.7923,2.9519,4.1359,5.7339,4.9524,2.8518,6.2708,3.9827,4.0257,4.9823,3.9614,4.3513,4.1114,3.1094
prosaposin-like  ,XP_048714070.1,PSAP,58,3.558,5.0851,2.5918,5.035,4.3639,5.0588,3.0112,5.0489,4.76,3.8791,4.1327,4.8318,4.0711,3.2188,1.972,3.7285,2.1622,3.1168,5.4106,4.2813,4.8221,4.1325,6.8477,5.3057,5.355,3.0367,7.0437,4.0896,4.9285,5.7265,6.5104,7.7546,3.9375,5.0753,3.8615,3.9359,4.1359,2.8669,5.9429,4.7529,3.1354,3.9827,6.0386,4.9823,2.971,5.4391,5.1392,1.0365
apolipoprotein C-I  ,XP_048684682.1,APOC1,11,2.6685,4.0681,1.7279,3.021,4.3639,5.0588,3.0112,4.0391,1.904,3.8791,4.1327,1.9327,2.0356,4.2917,4.9299,5.5927,3.2432,3.1168,4.3284,2.1406,4.8221,3.0994,2.9347,5.3057,4.4625,4.049,4.025,4.0896,3.9428,4.7721,1.0851,3.8773,2.9531,4.0603,3.8615,5.9038,4.1359,2.8669,2.9714,5.7035,5.2257,3.9827,4.0257,3.9858,4.9517,1.0878,2.0557,3.1094
neural cell adhesion molecule 1 isoform X1  ,XP_048683203.1 ,NCAM1,121,3.558,6.1022,2.5918,4.028,6.5459,4.0471,6.0225,7.0685,6.664,2.9094,4.1327,4.8318,3.0533,4.2917,4.9299,4.6606,3.2432,5.1947,2.1642,7.4923,3.8576,4.1325,8.8042,4.2445,5.355,10.122,5.0312,5.112,5.9142,5.7265,6.5104,5.816,7.875,3.0452,5.7923,5.9038,4.1359,11.468,2.9714,3.8024,8.3611,3.9827,1.0064,3.9858,2.971,5.4391,3.0835,4.1459
veficolin-1-like  ,XP_048682177.1,FCN1,35,1.779,5.0851,3.4558,3.021,2.182,4.0471,6.0225,3.0293,2.856,3.8791,4.1327,4.8318,5.0889,3.2188,2.958,2.7964,5.4054,5.1947,6.4927,4.2813,3.8576,4.1325,3.913,6.3668,6.2476,5.0612,4.025,4.0896,3.9428,3.8177,4.3402,3.8773,4.9218,7.1054,2.8961,6.8878,4.1359,2.8669,4.9524,4.7529,6.2708,6.9698,6.0386,4.9823,4.9517,4.3513,4.1114,6.2188
multiple inositol polyphosphate phosphatase 1  ,XP_048712387.1,MINPP1,54,3.558,4.0681,4.3197,4.028,5.4549,6.0706,4.015,4.0391,5.712,3.8791,4.1327,5.7982,5.0889,4.2917,1.972,0.93212,4.3243,6.2336,5.4106,5.3516,3.8576,4.1325,3.913,6.3668,4.4625,5.0612,5.0312,5.112,5.9142,7.6354,6.5104,6.7853,1.9687,4.0603,4.8269,2.9519,5.1699,3.8226,3.9619,3.8024,4.1806,3.9827,4.0257,2.9894,2.971,5.4391,5.1392,4.1459
riboflavin-binding protein-like isoform X1  ,XP_048718119.1 ,IZUMO1R,31,5.337,8.1362,2.5918,4.028,2.182,4.0471,2.0075,3.0293,4.76,3.8791,5.1659,2.8991,4.0711,5.3646,4.9299,2.7964,3.2432,6.2336,3.2463,6.4219,2.8932,3.0994,5.8694,5.3057,2.6775,5.0612,6.0375,4.0896,5.9142,3.8177,6.5104,3.8773,3.9375,6.0904,3.8615,2.9519,3.102,3.8226,6.9333,3.8024,4.1806,2.987,3.0193,4.9823,3.9614,4.3513,4.1114,5.1824
progranulin isoform X1  ,XP_048685644.1 ,GRN,72,0,4.0681,3.4558,5.035,3.2729,5.0588,6.0225,3.0293,4.76,0.96978,2.0664,6.7645,4.0711,2.1458,2.958,1.8642,1.0811,3.1168,1.0821,7.4923,0.96441,4.1325,2.9347,2.1223,3.57,6.0735,6.0375,6.1344,6.8999,6.681,2.1701,4.8467,0.98437,5.0753,4.8269,4.9198,9.3059,6.6895,7.9238,0,4.1806,6.9698,5.0322,1.9929,0.99034,2.1757,3.0835,4.1459
complement component C8 gamma chain isoform X1  ,XP_048678838.1 ,C8G,23,6.2265,4.0681,3.4558,4.028,6.5459,6.0706,4.015,5.0489,4.76,6.7885,3.0995,5.7982,4.0711,7.5104,3.944,3.7285,5.4054,4.1557,2.1642,8.5626,2.8932,3.0994,3.913,4.2445,2.6775,4.049,2.0125,3.0672,5.9142,3.8177,3.2552,3.8773,4.9218,3.0452,3.8615,4.9198,4.1359,3.8226,4.9524,2.8518,3.1354,2.987,4.0257,2.9894,3.9614,3.2635,4.1114,4.1459
14-3-3 protein zeta/delta  ,XP_048697337.1,YWHAZ,28,8.1837,9.1532,8.2949,4.2298,5.6735,6.0706,3.0112,4.0391,1.904,0.96978,2.0664,3.8655,5.0889,3.4338,1.972,6.7116,0,1.0389,6.4927,8.5626,7.7153,3.0994,2.9347,1.0611,8.2114,2.2273,3.2204,2.2497,2.9571,6.681,5.4253,6.7853,0.98437,2.2335,3.8615,1.9679,4.3431,0.95565,1.981,1.9012,2.2997,3.9827,5.2338,4.9823,2.971,1.3058,2.2617,1.2442
prostaglandin-H2 D-isomerase  ,XP_048678837.1,PTGDS,21,4.4475,3.0511,3.4558,1.007,4.3639,4.0471,2.0075,6.0587,8.568,4.8489,4.1327,5.7982,4.0711,4.2917,3.944,3.7285,4.3243,5.1947,3.2463,4.2813,2.8932,3.0994,1.9565,2.1223,3.57,3.0367,3.0187,4.0896,3.9428,1.9088,3.2552,1.9387,1.9687,4.0603,5.7923,2.9519,3.102,3.8226,5.9429,4.7529,5.2257,5.9741,3.0193,3.9858,1.9807,4.3513,5.1392,5.1824
plexin-B2 isoform X2  ,XP_048692819.1 ,PLXNB2,210,1.779,3.0511,3.4558,3.021,5.4549,3.0353,5.0187,4.0391,3.808,0.96978,0,1.9327,2.0356,2.1458,1.972,2.7964,3.2432,3.1168,3.2463,2.1406,3.8576,4.1325,1.9565,5.3057,1.785,3.0367,3.0187,6.1344,5.9142,3.8177,4.3402,3.8773,4.9218,2.0301,1.9308,0.98397,1.034,3.8226,0.99048,0.95059,1.0451,0,2.0129,1.9929,3.9614,1.0878,1.0278,1.0365
phosphoglucomutase-1 isoform X1  ,XP_048718092.1,PGM1,62,16.011,8.1362,20.735,12.084,4.3639,2.0235,14.052,13.127,2.856,0,0,4.8318,1.0178,0,0,0,0,0,1.0821,5.3516,5.7865,1.0331,1.9565,0,9.8176,6.0735,1.0062,2.0448,0,2.8633,0,9.6933,0,1.0151,0,0,0,0,0,6.6541,0,0,0,0,0,0,0,0
phosphoglycerate mutase 1  ,XP_048713278.1,PGAM1,29,6.0194,3.5201,5.448,3.8717,1.5941,2.4902,3.3963,2.4853,2.7821,1.417,2.5429,2.8241,1.4872,0.49483,2.4267,1.362,1.5797,1.5181,4.8275,3.1279,1.854,3.0192,1.4294,2.6117,5.2858,1.4791,2.9406,1.4939,2.426,3.7436,1.5855,2.8328,2.4227,1.4832,1.4106,1.4378,1.5109,1.3964,2.4378,5.1176,2.0092,2.4506,3.4835,2.4525,1.4471,0.50171,2.5297,0.47802
Cluster of alpha-2-macroglobulin-like protein 1  ,XP_048678511.1 ,A2ML1,158,0.33475,0.38274,0.32513,0,0.31168,0,0.37774,0.38002,0,0,0.32,0,0.29077,0.40378,0,0,0.40685,0.41596,0.21107,0.42852,0.36294,0.3888,0.27948,1.3643,0.080899,0.22176,0.19627,0.40934,0.37095,0.4457,0.5067,1.2696,0.48334,0.49841,0,1.3543,0.38913,0.46923,0.39655,0.18541,0.20386,0,0.28753,0,0.3727,0.33693,0.22518,0.41497
LOW QUALITY PROTEIN: IgGFc-binding protein-like  ,XP_048684437.1,FCGBP,322,0.23807,0.40831,1.9591,3.2905,1.383,1.418,1.4067,3.2996,1.2068,2.3289,1.448,3.1577,1.154,2.433,1.3818,1.1816,2.4515,1.317,1.5165,0.28647,1.2225,0.27651,1.371,2.4063,3.8089,3.714,3.5574,1.4329,0.39573,1.2099,1.5207,0.25944,2.2322,1.5584,0.38757,0.39504,1.3107,0.25578,2.246,1.205,0.27973,3.2535,2.4169,1.2632,1.2554,1.5246,0.41265,3.5255
